"US_Congressional_District","Voters_Gender","age_cat","EthnicGroups_EthnicGroup1Desc","CommercialData_Education","Parties_Description","count"
29,"F","65_or_older","Likely African-American","Grad Degree","Democratic",248
30,"F","65_or_older","Likely African-American","Grad Degree","Democratic",2188
31,"F","65_or_older","Likely African-American","Grad Degree","Democratic",201
32,"F","65_or_older","Likely African-American","Grad Degree","Democratic",301
33,"F","65_or_older","Likely African-American","Grad Degree","Democratic",511
34,"F","65_or_older","Likely African-American","Grad Degree","Democratic",19
35,"F","65_or_older","Likely African-American","Grad Degree","Democratic",196
36,"F","65_or_older","Likely African-American","Grad Degree","Democratic",210
1,"M","65_or_older","Likely African-American","Grad Degree","Democratic",432
2,"M","65_or_older","Likely African-American","Grad Degree","Democratic",234
3,"M","65_or_older","Likely African-American","Grad Degree","Democratic",172
4,"M","65_or_older","Likely African-American","Grad Degree","Democratic",219
5,"M","65_or_older","Likely African-American","Grad Degree","Democratic",220
6,"M","65_or_older","Likely African-American","Grad Degree","Democratic",473
7,"M","65_or_older","Likely African-American","Grad Degree","Democratic",192
8,"M","65_or_older","Likely African-American","Grad Degree","Democratic",98
9,"M","65_or_older","Likely African-American","Grad Degree","Democratic",1428
10,"M","65_or_older","Likely African-American","Grad Degree","Democratic",227
11,"M","65_or_older","Likely African-American","Grad Degree","Democratic",43
12,"M","65_or_older","Likely African-American","Grad Degree","Democratic",167
13,"M","65_or_older","Likely African-American","Grad Degree","Democratic",54
14,"M","65_or_older","Likely African-American","Grad Degree","Democratic",536
15,"M","65_or_older","Likely African-American","Grad Degree","Democratic",39
16,"M","65_or_older","Likely African-American","Grad Degree","Democratic",63
17,"M","65_or_older","Likely African-American","Grad Degree","Democratic",257
18,"M","65_or_older","Likely African-American","Grad Degree","Democratic",1328
19,"M","65_or_older","Likely African-American","Grad Degree","Democratic",59
20,"M","65_or_older","Likely African-American","Grad Degree","Democratic",84
21,"M","65_or_older","Likely African-American","Grad Degree","Democratic",80
22,"M","65_or_older","Likely African-American","Grad Degree","Democratic",571
23,"M","65_or_older","Likely African-American","Grad Degree","Democratic",88
24,"M","65_or_older","Likely African-American","Grad Degree","Democratic",131
25,"M","65_or_older","Likely African-American","Grad Degree","Democratic",186
26,"M","65_or_older","Likely African-American","Grad Degree","Democratic",85
27,"M","65_or_older","Likely African-American","Grad Degree","Democratic",94
28,"M","65_or_older","Likely African-American","Grad Degree","Democratic",159
29,"M","65_or_older","Likely African-American","Grad Degree","Democratic",207
30,"M","65_or_older","Likely African-American","Grad Degree","Democratic",1839
31,"M","65_or_older","Likely African-American","Grad Degree","Democratic",189
32,"M","65_or_older","Likely African-American","Grad Degree","Democratic",256
33,"M","65_or_older","Likely African-American","Grad Degree","Democratic",366
34,"M","65_or_older","Likely African-American","Grad Degree","Democratic",18
35,"M","65_or_older","Likely African-American","Grad Degree","Democratic",168
36,"M","65_or_older","Likely African-American","Grad Degree","Democratic",177
2,"F","18-24","Other","Grad Degree","Democratic",8
3,"F","18-24","Other","Grad Degree","Democratic",45
4,"F","18-24","Other","Grad Degree","Democratic",1
5,"F","18-24","Other","Grad Degree","Democratic",1
6,"F","18-24","Other","Grad Degree","Democratic",9
7,"F","18-24","Other","Grad Degree","Democratic",28
8,"F","18-24","Other","Grad Degree","Democratic",6
9,"F","18-24","Other","Grad Degree","Democratic",8
10,"F","18-24","Other","Grad Degree","Democratic",10
12,"F","18-24","Other","Grad Degree","Democratic",4
13,"F","18-24","Other","Grad Degree","Democratic",1
14,"F","18-24","Other","Grad Degree","Democratic",4
15,"F","18-24","Other","Grad Degree","Democratic",2
16,"F","18-24","Other","Grad Degree","Democratic",2
17,"F","18-24","Other","Grad Degree","Democratic",9
18,"F","18-24","Other","Grad Degree","Democratic",5
19,"F","18-24","Other","Grad Degree","Democratic",2
20,"F","18-24","Other","Grad Degree","Democratic",3
21,"F","18-24","Other","Grad Degree","Democratic",29
22,"F","18-24","Other","Grad Degree","Democratic",39
23,"F","18-24","Other","Grad Degree","Democratic",2
24,"F","18-24","Other","Grad Degree","Democratic",28
25,"F","18-24","Other","Grad Degree","Democratic",33
26,"F","18-24","Other","Grad Degree","Democratic",6
27,"F","18-24","Other","Grad Degree","Democratic",3
28,"F","18-24","Other","Grad Degree","Democratic",2
29,"F","18-24","Other","Grad Degree","Democratic",3
30,"F","18-24","Other","Grad Degree","Democratic",1
31,"F","18-24","Other","Grad Degree","Democratic",8
32,"F","18-24","Other","Grad Degree","Democratic",21
33,"F","18-24","Other","Grad Degree","Democratic",1
35,"F","18-24","Other","Grad Degree","Democratic",2
36,"F","18-24","Other","Grad Degree","Democratic",5
1,"M","18-24","Other","Grad Degree","Democratic",1
2,"M","18-24","Other","Grad Degree","Democratic",16
3,"M","18-24","Other","Grad Degree","Democratic",53
4,"M","18-24","Other","Grad Degree","Democratic",1
6,"M","18-24","Other","Grad Degree","Democratic",9
7,"M","18-24","Other","Grad Degree","Democratic",25
8,"M","18-24","Other","Grad Degree","Democratic",7
9,"M","18-24","Other","Grad Degree","Democratic",10
10,"M","18-24","Other","Grad Degree","Democratic",12
11,"M","18-24","Other","Grad Degree","Democratic",1
12,"M","18-24","Other","Grad Degree","Democratic",2
13,"M","18-24","Other","Grad Degree","Democratic",3
14,"M","18-24","Other","Grad Degree","Democratic",4
15,"M","18-24","Other","Grad Degree","Democratic",1
16,"M","18-24","Other","Grad Degree","Democratic",3
17,"M","18-24","Other","Grad Degree","Democratic",9
18,"M","18-24","Other","Grad Degree","Democratic",2
20,"M","18-24","Other","Grad Degree","Democratic",3
21,"M","18-24","Other","Grad Degree","Democratic",23
22,"M","18-24","Other","Grad Degree","Democratic",47
23,"M","18-24","Other","Grad Degree","Democratic",4
24,"M","18-24","Other","Grad Degree","Democratic",17
25,"M","18-24","Other","Grad Degree","Democratic",16
26,"M","18-24","Other","Grad Degree","Democratic",11
27,"M","18-24","Other","Grad Degree","Democratic",2
29,"M","18-24","Other","Grad Degree","Democratic",2
30,"M","18-24","Other","Grad Degree","Democratic",3
31,"M","18-24","Other","Grad Degree","Democratic",6
32,"M","18-24","Other","Grad Degree","Democratic",26
36,"M","18-24","Other","Grad Degree","Democratic",2
1,"F","25-34","Other","Grad Degree","Democratic",7
2,"F","25-34","Other","Grad Degree","Democratic",82
3,"F","25-34","Other","Grad Degree","Democratic",117
4,"F","25-34","Other","Grad Degree","Democratic",3
5,"F","25-34","Other","Grad Degree","Democratic",15
6,"F","25-34","Other","Grad Degree","Democratic",26
7,"F","25-34","Other","Grad Degree","Democratic",126
8,"F","25-34","Other","Grad Degree","Democratic",4
9,"F","25-34","Other","Grad Degree","Democratic",50
10,"F","25-34","Other","Grad Degree","Democratic",80
11,"F","25-34","Other","Grad Degree","Democratic",1
12,"F","25-34","Other","Grad Degree","Democratic",19
13,"F","25-34","Other","Grad Degree","Democratic",2
14,"F","25-34","Other","Grad Degree","Democratic",18
15,"F","25-34","Other","Grad Degree","Democratic",6
16,"F","25-34","Other","Grad Degree","Democratic",11
17,"F","25-34","Other","Grad Degree","Democratic",26
18,"F","25-34","Other","Grad Degree","Democratic",33
19,"F","25-34","Other","Grad Degree","Democratic",3
20,"F","25-34","Other","Grad Degree","Democratic",21
21,"F","25-34","Other","Grad Degree","Democratic",89
22,"F","25-34","Other","Grad Degree","Democratic",124
23,"F","25-34","Other","Grad Degree","Democratic",12
24,"F","25-34","Other","Grad Degree","Democratic",82
25,"F","25-34","Other","Grad Degree","Democratic",61
26,"F","25-34","Other","Grad Degree","Democratic",36
27,"F","25-34","Other","Grad Degree","Democratic",5
28,"F","25-34","Other","Grad Degree","Democratic",5
29,"F","25-34","Other","Grad Degree","Democratic",7
30,"F","25-34","Other","Grad Degree","Democratic",29
31,"F","25-34","Other","Grad Degree","Democratic",25
32,"F","25-34","Other","Grad Degree","Democratic",105
33,"F","25-34","Other","Grad Degree","Democratic",5
34,"F","25-34","Other","Grad Degree","Democratic",2
35,"F","25-34","Other","Grad Degree","Democratic",25
36,"F","25-34","Other","Grad Degree","Democratic",19
1,"M","25-34","Other","Grad Degree","Democratic",5
2,"M","25-34","Other","Grad Degree","Democratic",85
3,"M","25-34","Other","Grad Degree","Democratic",107
4,"M","25-34","Other","Grad Degree","Democratic",8
5,"M","25-34","Other","Grad Degree","Democratic",22
6,"M","25-34","Other","Grad Degree","Democratic",38
7,"M","25-34","Other","Grad Degree","Democratic",112
8,"M","25-34","Other","Grad Degree","Democratic",13
9,"M","25-34","Other","Grad Degree","Democratic",52
10,"M","25-34","Other","Grad Degree","Democratic",75
12,"M","25-34","Other","Grad Degree","Democratic",25
13,"M","25-34","Other","Grad Degree","Democratic",5
14,"M","25-34","Other","Grad Degree","Democratic",17
15,"M","25-34","Other","Grad Degree","Democratic",10
16,"M","25-34","Other","Grad Degree","Democratic",8
17,"M","25-34","Other","Grad Degree","Democratic",20
18,"M","25-34","Other","Grad Degree","Democratic",48
19,"M","25-34","Other","Grad Degree","Democratic",6
20,"M","25-34","Other","Grad Degree","Democratic",24
21,"M","25-34","Other","Grad Degree","Democratic",67
22,"M","25-34","Other","Grad Degree","Democratic",168
23,"M","25-34","Other","Grad Degree","Democratic",16
24,"M","25-34","Other","Grad Degree","Democratic",74
25,"M","25-34","Other","Grad Degree","Democratic",46
26,"M","25-34","Other","Grad Degree","Democratic",35
27,"M","25-34","Other","Grad Degree","Democratic",9
28,"M","25-34","Other","Grad Degree","Democratic",6
29,"M","25-34","Other","Grad Degree","Democratic",10
30,"M","25-34","Other","Grad Degree","Democratic",28
31,"M","25-34","Other","Grad Degree","Democratic",33
32,"M","25-34","Other","Grad Degree","Democratic",78
33,"M","25-34","Other","Grad Degree","Democratic",5
34,"M","25-34","Other","Grad Degree","Democratic",10
35,"M","25-34","Other","Grad Degree","Democratic",18
36,"M","25-34","Other","Grad Degree","Democratic",26
1,"F","35-44","Other","Grad Degree","Democratic",7
2,"F","35-44","Other","Grad Degree","Democratic",61
3,"F","35-44","Other","Grad Degree","Democratic",149
4,"F","35-44","Other","Grad Degree","Democratic",5
5,"F","35-44","Other","Grad Degree","Democratic",19
6,"F","35-44","Other","Grad Degree","Democratic",31
7,"F","35-44","Other","Grad Degree","Democratic",131
8,"F","35-44","Other","Grad Degree","Democratic",23
9,"F","35-44","Other","Grad Degree","Democratic",45
10,"F","35-44","Other","Grad Degree","Democratic",89
11,"F","35-44","Other","Grad Degree","Democratic",1
12,"F","35-44","Other","Grad Degree","Democratic",18
14,"F","35-44","Other","Grad Degree","Democratic",20
15,"F","35-44","Other","Grad Degree","Democratic",11
16,"F","35-44","Other","Grad Degree","Democratic",11
17,"F","35-44","Other","Grad Degree","Democratic",24
18,"F","35-44","Other","Grad Degree","Democratic",20
19,"F","35-44","Other","Grad Degree","Democratic",12
20,"F","35-44","Other","Grad Degree","Democratic",13
21,"F","35-44","Other","Grad Degree","Democratic",60
22,"F","35-44","Other","Grad Degree","Democratic",171
23,"F","35-44","Other","Grad Degree","Democratic",16
24,"F","35-44","Other","Grad Degree","Democratic",101
25,"F","35-44","Other","Grad Degree","Democratic",88
26,"F","35-44","Other","Grad Degree","Democratic",46
27,"F","35-44","Other","Grad Degree","Democratic",8
28,"F","35-44","Other","Grad Degree","Democratic",8
29,"F","35-44","Other","Grad Degree","Democratic",7
30,"F","35-44","Other","Grad Degree","Democratic",18
31,"F","35-44","Other","Grad Degree","Democratic",59
32,"F","35-44","Other","Grad Degree","Democratic",74
33,"F","35-44","Other","Grad Degree","Democratic",8
34,"F","35-44","Other","Grad Degree","Democratic",3
35,"F","35-44","Other","Grad Degree","Democratic",4
36,"F","35-44","Other","Grad Degree","Democratic",14
1,"M","35-44","Other","Grad Degree","Democratic",3
2,"M","35-44","Other","Grad Degree","Democratic",89
3,"M","35-44","Other","Grad Degree","Democratic",119
4,"M","35-44","Other","Grad Degree","Democratic",5
5,"M","35-44","Other","Grad Degree","Democratic",15
6,"M","35-44","Other","Grad Degree","Democratic",19
7,"M","35-44","Other","Grad Degree","Democratic",137
8,"M","35-44","Other","Grad Degree","Democratic",16
9,"M","35-44","Other","Grad Degree","Democratic",39
10,"M","35-44","Other","Grad Degree","Democratic",65
11,"M","35-44","Other","Grad Degree","Democratic",2
12,"M","35-44","Other","Grad Degree","Democratic",14
13,"M","35-44","Other","Grad Degree","Democratic",1
14,"M","35-44","Other","Grad Degree","Democratic",16
15,"M","35-44","Other","Grad Degree","Democratic",5
16,"M","35-44","Other","Grad Degree","Democratic",13
17,"M","35-44","Other","Grad Degree","Democratic",26
18,"M","35-44","Other","Grad Degree","Democratic",36
19,"M","35-44","Other","Grad Degree","Democratic",4
20,"M","35-44","Other","Grad Degree","Democratic",21
21,"M","35-44","Other","Grad Degree","Democratic",50
22,"M","35-44","Other","Grad Degree","Democratic",163
23,"M","35-44","Other","Grad Degree","Democratic",20
24,"M","35-44","Other","Grad Degree","Democratic",68
25,"M","35-44","Other","Grad Degree","Democratic",76
26,"M","35-44","Other","Grad Degree","Democratic",39
27,"M","35-44","Other","Grad Degree","Democratic",5
28,"M","35-44","Other","Grad Degree","Democratic",4
29,"M","35-44","Other","Grad Degree","Democratic",12
30,"M","35-44","Other","Grad Degree","Democratic",19
31,"M","35-44","Other","Grad Degree","Democratic",40
32,"M","35-44","Other","Grad Degree","Democratic",79
33,"M","35-44","Other","Grad Degree","Democratic",3
34,"M","35-44","Other","Grad Degree","Democratic",2
35,"M","35-44","Other","Grad Degree","Democratic",9
36,"M","35-44","Other","Grad Degree","Democratic",14
1,"F","45-54","Other","Grad Degree","Democratic",11
2,"F","45-54","Other","Grad Degree","Democratic",73
3,"F","45-54","Other","Grad Degree","Democratic",242
4,"F","45-54","Other","Grad Degree","Democratic",19
5,"F","45-54","Other","Grad Degree","Democratic",20
6,"F","45-54","Other","Grad Degree","Democratic",38
7,"F","45-54","Other","Grad Degree","Democratic",178
8,"F","45-54","Other","Grad Degree","Democratic",27
9,"F","45-54","Other","Grad Degree","Democratic",37
10,"F","45-54","Other","Grad Degree","Democratic",86
11,"F","45-54","Other","Grad Degree","Democratic",5
12,"F","45-54","Other","Grad Degree","Democratic",21
13,"F","45-54","Other","Grad Degree","Democratic",5
14,"F","45-54","Other","Grad Degree","Democratic",30
15,"F","45-54","Other","Grad Degree","Democratic",9
16,"F","45-54","Other","Grad Degree","Democratic",24
17,"F","45-54","Other","Grad Degree","Democratic",25
18,"F","45-54","Other","Grad Degree","Democratic",21
19,"F","45-54","Other","Grad Degree","Democratic",9
20,"F","45-54","Other","Grad Degree","Democratic",22
21,"F","45-54","Other","Grad Degree","Democratic",70
22,"F","45-54","Other","Grad Degree","Democratic",198
23,"F","45-54","Other","Grad Degree","Democratic",29
24,"F","45-54","Other","Grad Degree","Democratic",108
25,"F","45-54","Other","Grad Degree","Democratic",92
26,"F","45-54","Other","Grad Degree","Democratic",54
27,"F","45-54","Other","Grad Degree","Democratic",12
28,"F","45-54","Other","Grad Degree","Democratic",12
29,"F","45-54","Other","Grad Degree","Democratic",11
30,"F","45-54","Other","Grad Degree","Democratic",19
31,"F","45-54","Other","Grad Degree","Democratic",61
32,"F","45-54","Other","Grad Degree","Democratic",86
33,"F","45-54","Other","Grad Degree","Democratic",7
34,"F","45-54","Other","Grad Degree","Democratic",6
35,"F","45-54","Other","Grad Degree","Democratic",8
36,"F","45-54","Other","Grad Degree","Democratic",25
1,"M","45-54","Other","Grad Degree","Democratic",5
2,"M","45-54","Other","Grad Degree","Democratic",108
3,"M","45-54","Other","Grad Degree","Democratic",280
4,"M","45-54","Other","Grad Degree","Democratic",8
5,"M","45-54","Other","Grad Degree","Democratic",11
6,"M","45-54","Other","Grad Degree","Democratic",37
7,"M","45-54","Other","Grad Degree","Democratic",176
8,"M","45-54","Other","Grad Degree","Democratic",42
9,"M","45-54","Other","Grad Degree","Democratic",59
10,"M","45-54","Other","Grad Degree","Democratic",106
12,"M","45-54","Other","Grad Degree","Democratic",30
13,"M","45-54","Other","Grad Degree","Democratic",5
14,"M","45-54","Other","Grad Degree","Democratic",33
15,"M","45-54","Other","Grad Degree","Democratic",12
16,"M","45-54","Other","Grad Degree","Democratic",23
17,"M","45-54","Other","Grad Degree","Democratic",36
18,"M","45-54","Other","Grad Degree","Democratic",20
19,"M","45-54","Other","Grad Degree","Democratic",9
20,"M","45-54","Other","Grad Degree","Democratic",25
21,"M","45-54","Other","Grad Degree","Democratic",55
22,"M","45-54","Other","Grad Degree","Democratic",271
23,"M","45-54","Other","Grad Degree","Democratic",22
24,"M","45-54","Other","Grad Degree","Democratic",164
25,"M","45-54","Other","Grad Degree","Democratic",99
26,"M","45-54","Other","Grad Degree","Democratic",67
27,"M","45-54","Other","Grad Degree","Democratic",13
28,"M","45-54","Other","Grad Degree","Democratic",8
29,"M","45-54","Other","Grad Degree","Democratic",10
30,"M","45-54","Other","Grad Degree","Democratic",22
31,"M","45-54","Other","Grad Degree","Democratic",65
32,"M","45-54","Other","Grad Degree","Democratic",115
33,"M","45-54","Other","Grad Degree","Democratic",16
34,"M","45-54","Other","Grad Degree","Democratic",7
35,"M","45-54","Other","Grad Degree","Democratic",9
36,"M","45-54","Other","Grad Degree","Democratic",16
1,"F","55-64","Other","Grad Degree","Democratic",11
2,"F","55-64","Other","Grad Degree","Democratic",101
3,"F","55-64","Other","Grad Degree","Democratic",207
4,"F","55-64","Other","Grad Degree","Democratic",9
5,"F","55-64","Other","Grad Degree","Democratic",28
6,"F","55-64","Other","Grad Degree","Democratic",53
7,"F","55-64","Other","Grad Degree","Democratic",208
8,"F","55-64","Other","Grad Degree","Democratic",34
9,"F","55-64","Other","Grad Degree","Democratic",70
10,"F","55-64","Other","Grad Degree","Democratic",111
11,"F","55-64","Other","Grad Degree","Democratic",6
12,"F","55-64","Other","Grad Degree","Democratic",34
13,"F","55-64","Other","Grad Degree","Democratic",8
14,"F","55-64","Other","Grad Degree","Democratic",32
15,"F","55-64","Other","Grad Degree","Democratic",15
16,"F","55-64","Other","Grad Degree","Democratic",33
17,"F","55-64","Other","Grad Degree","Democratic",34
18,"F","55-64","Other","Grad Degree","Democratic",32
19,"F","55-64","Other","Grad Degree","Democratic",9
20,"F","55-64","Other","Grad Degree","Democratic",23
21,"F","55-64","Other","Grad Degree","Democratic",92
22,"F","55-64","Other","Grad Degree","Democratic",184
23,"F","55-64","Other","Grad Degree","Democratic",30
24,"F","55-64","Other","Grad Degree","Democratic",107
25,"F","55-64","Other","Grad Degree","Democratic",78
26,"F","55-64","Other","Grad Degree","Democratic",50
27,"F","55-64","Other","Grad Degree","Democratic",12
28,"F","55-64","Other","Grad Degree","Democratic",15
29,"F","55-64","Other","Grad Degree","Democratic",5
30,"F","55-64","Other","Grad Degree","Democratic",24
31,"F","55-64","Other","Grad Degree","Democratic",44
32,"F","55-64","Other","Grad Degree","Democratic",107
33,"F","55-64","Other","Grad Degree","Democratic",11
34,"F","55-64","Other","Grad Degree","Democratic",6
35,"F","55-64","Other","Grad Degree","Democratic",12
36,"F","55-64","Other","Grad Degree","Democratic",48
1,"M","55-64","Other","Grad Degree","Democratic",6
2,"M","55-64","Other","Grad Degree","Democratic",127
3,"M","55-64","Other","Grad Degree","Democratic",323
4,"M","55-64","Other","Grad Degree","Democratic",17
5,"M","55-64","Other","Grad Degree","Democratic",27
6,"M","55-64","Other","Grad Degree","Democratic",82
7,"M","55-64","Other","Grad Degree","Democratic",271
8,"M","55-64","Other","Grad Degree","Democratic",47
9,"M","55-64","Other","Grad Degree","Democratic",74
10,"M","55-64","Other","Grad Degree","Democratic",112
11,"M","55-64","Other","Grad Degree","Democratic",8
12,"M","55-64","Other","Grad Degree","Democratic",47
13,"M","55-64","Other","Grad Degree","Democratic",13
14,"M","55-64","Other","Grad Degree","Democratic",48
15,"M","55-64","Other","Grad Degree","Democratic",20
16,"M","55-64","Other","Grad Degree","Democratic",54
17,"M","55-64","Other","Grad Degree","Democratic",48
18,"M","55-64","Other","Grad Degree","Democratic",39
19,"M","55-64","Other","Grad Degree","Democratic",9
20,"M","55-64","Other","Grad Degree","Democratic",29
21,"M","55-64","Other","Grad Degree","Democratic",101
22,"M","55-64","Other","Grad Degree","Democratic",332
23,"M","55-64","Other","Grad Degree","Democratic",41
24,"M","55-64","Other","Grad Degree","Democratic",181
25,"M","55-64","Other","Grad Degree","Democratic",94
26,"M","55-64","Other","Grad Degree","Democratic",79
27,"M","55-64","Other","Grad Degree","Democratic",26
28,"M","55-64","Other","Grad Degree","Democratic",12
29,"M","55-64","Other","Grad Degree","Democratic",15
30,"M","55-64","Other","Grad Degree","Democratic",26
31,"M","55-64","Other","Grad Degree","Democratic",76
32,"M","55-64","Other","Grad Degree","Democratic",151
33,"M","55-64","Other","Grad Degree","Democratic",16
34,"M","55-64","Other","Grad Degree","Democratic",13
35,"M","55-64","Other","Grad Degree","Democratic",17
36,"M","55-64","Other","Grad Degree","Democratic",49
1,"F","65_or_older","Other","Grad Degree","Democratic",17
2,"F","65_or_older","Other","Grad Degree","Democratic",102
3,"F","65_or_older","Other","Grad Degree","Democratic",139
4,"F","65_or_older","Other","Grad Degree","Democratic",16
5,"F","65_or_older","Other","Grad Degree","Democratic",25
6,"F","65_or_older","Other","Grad Degree","Democratic",51
7,"F","65_or_older","Other","Grad Degree","Democratic",162
8,"F","65_or_older","Other","Grad Degree","Democratic",26
9,"F","65_or_older","Other","Grad Degree","Democratic",82
10,"F","65_or_older","Other","Grad Degree","Democratic",81
11,"F","65_or_older","Other","Grad Degree","Democratic",8
12,"F","65_or_older","Other","Grad Degree","Democratic",43
13,"F","65_or_older","Other","Grad Degree","Democratic",12
14,"F","65_or_older","Other","Grad Degree","Democratic",27
15,"F","65_or_older","Other","Grad Degree","Democratic",14
16,"F","65_or_older","Other","Grad Degree","Democratic",34
17,"F","65_or_older","Other","Grad Degree","Democratic",49
18,"F","65_or_older","Other","Grad Degree","Democratic",25
19,"F","65_or_older","Other","Grad Degree","Democratic",15
20,"F","65_or_older","Other","Grad Degree","Democratic",30
21,"F","65_or_older","Other","Grad Degree","Democratic",97
22,"F","65_or_older","Other","Grad Degree","Democratic",126
23,"F","65_or_older","Other","Grad Degree","Democratic",35
24,"F","65_or_older","Other","Grad Degree","Democratic",91
25,"F","65_or_older","Other","Grad Degree","Democratic",97
26,"F","65_or_older","Other","Grad Degree","Democratic",51
27,"F","65_or_older","Other","Grad Degree","Democratic",22
28,"F","65_or_older","Other","Grad Degree","Democratic",19
29,"F","65_or_older","Other","Grad Degree","Democratic",10
30,"F","65_or_older","Other","Grad Degree","Democratic",27
31,"F","65_or_older","Other","Grad Degree","Democratic",65
32,"F","65_or_older","Other","Grad Degree","Democratic",100
33,"F","65_or_older","Other","Grad Degree","Democratic",9
34,"F","65_or_older","Other","Grad Degree","Democratic",14
35,"F","65_or_older","Other","Grad Degree","Democratic",21
36,"F","65_or_older","Other","Grad Degree","Democratic",29
1,"M","65_or_older","Other","Grad Degree","Democratic",14
2,"M","65_or_older","Other","Grad Degree","Democratic",156
3,"M","65_or_older","Other","Grad Degree","Democratic",228
4,"M","65_or_older","Other","Grad Degree","Democratic",20
5,"M","65_or_older","Other","Grad Degree","Democratic",35
6,"M","65_or_older","Other","Grad Degree","Democratic",73
7,"M","65_or_older","Other","Grad Degree","Democratic",322
8,"M","65_or_older","Other","Grad Degree","Democratic",55
9,"M","65_or_older","Other","Grad Degree","Democratic",127
10,"M","65_or_older","Other","Grad Degree","Democratic",126
11,"M","65_or_older","Other","Grad Degree","Democratic",9
12,"M","65_or_older","Other","Grad Degree","Democratic",58
13,"M","65_or_older","Other","Grad Degree","Democratic",14
14,"M","65_or_older","Other","Grad Degree","Democratic",54
15,"M","65_or_older","Other","Grad Degree","Democratic",25
16,"M","65_or_older","Other","Grad Degree","Democratic",47
17,"M","65_or_older","Other","Grad Degree","Democratic",73
18,"M","65_or_older","Other","Grad Degree","Democratic",42
19,"M","65_or_older","Other","Grad Degree","Democratic",13
20,"M","65_or_older","Other","Grad Degree","Democratic",38
21,"M","65_or_older","Other","Grad Degree","Democratic",120
22,"M","65_or_older","Other","Grad Degree","Democratic",293
23,"M","65_or_older","Other","Grad Degree","Democratic",55
24,"M","65_or_older","Other","Grad Degree","Democratic",159
25,"M","65_or_older","Other","Grad Degree","Democratic",116
26,"M","65_or_older","Other","Grad Degree","Democratic",58
27,"M","65_or_older","Other","Grad Degree","Democratic",38
28,"M","65_or_older","Other","Grad Degree","Democratic",12
29,"M","65_or_older","Other","Grad Degree","Democratic",16
30,"M","65_or_older","Other","Grad Degree","Democratic",33
31,"M","65_or_older","Other","Grad Degree","Democratic",60
32,"M","65_or_older","Other","Grad Degree","Democratic",165
33,"M","65_or_older","Other","Grad Degree","Democratic",16
34,"M","65_or_older","Other","Grad Degree","Democratic",24
35,"M","65_or_older","Other","Grad Degree","Democratic",20
36,"M","65_or_older","Other","Grad Degree","Democratic",61
1,"F","18-24","East and South Asian","HS Diploma","Democratic",5
2,"F","18-24","East and South Asian","HS Diploma","Democratic",49
3,"F","18-24","East and South Asian","HS Diploma","Democratic",96
4,"F","18-24","East and South Asian","HS Diploma","Democratic",12
5,"F","18-24","East and South Asian","HS Diploma","Democratic",21
6,"F","18-24","East and South Asian","HS Diploma","Democratic",41
7,"F","18-24","East and South Asian","HS Diploma","Democratic",53
8,"F","18-24","East and South Asian","HS Diploma","Democratic",9
9,"F","18-24","East and South Asian","HS Diploma","Democratic",86
10,"F","18-24","East and South Asian","HS Diploma","Democratic",58
11,"F","18-24","East and South Asian","HS Diploma","Democratic",5
12,"F","18-24","East and South Asian","HS Diploma","Democratic",18
13,"F","18-24","East and South Asian","HS Diploma","Democratic",7
14,"F","18-24","East and South Asian","HS Diploma","Democratic",21
15,"F","18-24","East and South Asian","HS Diploma","Democratic",21
16,"F","18-24","East and South Asian","HS Diploma","Democratic",34
17,"F","18-24","East and South Asian","HS Diploma","Democratic",41
18,"F","18-24","East and South Asian","HS Diploma","Democratic",44
19,"F","18-24","East and South Asian","HS Diploma","Democratic",13
20,"F","18-24","East and South Asian","HS Diploma","Democratic",34
21,"F","18-24","East and South Asian","HS Diploma","Democratic",134
22,"F","18-24","East and South Asian","HS Diploma","Democratic",106
23,"F","18-24","East and South Asian","HS Diploma","Democratic",16
24,"F","18-24","East and South Asian","HS Diploma","Democratic",64
25,"F","18-24","East and South Asian","HS Diploma","Democratic",159
26,"F","18-24","East and South Asian","HS Diploma","Democratic",31
27,"F","18-24","East and South Asian","HS Diploma","Democratic",10
28,"F","18-24","East and South Asian","HS Diploma","Democratic",15
29,"F","18-24","East and South Asian","HS Diploma","Democratic",24
30,"F","18-24","East and South Asian","HS Diploma","Democratic",71
31,"F","18-24","East and South Asian","HS Diploma","Democratic",27
32,"F","18-24","East and South Asian","HS Diploma","Democratic",77
33,"F","18-24","East and South Asian","HS Diploma","Democratic",27
34,"F","18-24","East and South Asian","HS Diploma","Democratic",11
35,"F","18-24","East and South Asian","HS Diploma","Democratic",39
36,"F","18-24","East and South Asian","HS Diploma","Democratic",22
1,"M","18-24","East and South Asian","HS Diploma","Democratic",5
2,"M","18-24","East and South Asian","HS Diploma","Democratic",31
3,"M","18-24","East and South Asian","HS Diploma","Democratic",91
4,"M","18-24","East and South Asian","HS Diploma","Democratic",6
5,"M","18-24","East and South Asian","HS Diploma","Democratic",14
6,"M","18-24","East and South Asian","HS Diploma","Democratic",26
7,"M","18-24","East and South Asian","HS Diploma","Democratic",44
8,"M","18-24","East and South Asian","HS Diploma","Democratic",11
9,"M","18-24","East and South Asian","HS Diploma","Democratic",64
10,"M","18-24","East and South Asian","HS Diploma","Democratic",43
11,"M","18-24","East and South Asian","HS Diploma","Democratic",4
12,"M","18-24","East and South Asian","HS Diploma","Democratic",14
