U.S. House,,FL-26,,OCT 19-24,ASiena College/New York Times,499,RV,Mucarsel-Powell,43.00%,39.00%,Curbelo,Mucarsel-Powell,3
U.S. House,,FL-26,,OCT 19-24,ASiena College/New York Times,499,LV,Mucarsel-Powell,45.00%,44.00%,Curbelo,Mucarsel-Powell,1
U.S. House,,NM-2,,OCT 19-23,ASiena College/New York Times,522,RV,Small,43.00%,40.00%,Herrell,Small,4
U.S. House,,NM-2,,OCT 19-23,ASiena College/New York Times,522,LV,Small,44.00%,45.00%,Herrell,,EVEN
U.S. House,,AR-2,,OCT 17-18,B-Hendrix College,590,LV,Tucker,40.00%,52.00%,Hill,Hill,12
"Oct. 19, 2018",,,,,,,,,,,,,
U.S. House,,CA-39,,OCT 18-23,ASiena College/New York Times,496,RV,Cisneros,50.00%,40.00%,Kim,Cisneros,10
U.S. House,,CA-39,,OCT 18-23,ASiena College/New York Times,496,LV,Cisneros,47.00%,46.00%,Kim,Cisneros,1
U.S. House,,IL-12,,OCT 18-22,ASiena College/New York Times,502,RV,Kelly,34.00%,43.00%,Bost,Bost,9
U.S. House,,IL-12,,OCT 18-22,ASiena College/New York Times,502,LV,Kelly,39.00%,48.00%,Bost,Bost,9
U.S. House,,AZ-1,,OCT 16-18,B+American Viewpoint*,400,LV,O'Halleran,46.00%,46.00%,Rogers,,EVEN
U.S. House,,UT-2,,OCT 3-17,University of Utah,401,RV,Ghorbani,29.00%,52.00%,Stewart,Stewart,23
U.S. House,,GA-7,,OCT 11-14,C-McLaughlin & Associates*,400,LV,Bourdeaux,32.00%,59.00%,Woodall,Woodall,27
"Oct. 18, 2018",,,,,,,,,,,,,
U.S. House,,VA-2,,OCT 18-22,ASiena College/New York Times,508,RV,Luria,45.00%,40.00%,Taylor,Luria,6
U.S. House,,VA-2,,OCT 18-22,ASiena College/New York Times,508,LV,Luria,42.00%,45.00%,Taylor,Taylor,3
U.S. House,,PA-7,,OCT 14-18,AMuhlenberg College,411,LV,Wild,48.00%,41.00%,Nothstein,Wild,7
U.S. House,,MI-8,,OCT 15-17,CTarget Insyght,500,LV,Slotkin,45.00%,48.00%,Bishop,Bishop,3
U.S. House,,MI-11,,OCT 15-17,CTarget Insyght,500,LV,Stevens,48.00%,48.00%,Epstein,,EVEN
U.S. House,,ME-2,,01/10/07,B+Pan Atlantic SMS Group,251,LV,Golden,37.00%,37.00%,Poliquin,Poliquin,1
U.S. House,,ME-1,,01/10/07,B+Pan Atlantic SMS Group,249,LV,Pingree,53.00%,29.00%,Holbrook,Pingree,24
"Oct. 17, 2018",,,,,,,,,,,,,
U.S. House,,VA-5,,OCT 16-22,ASiena College/New York Times,501,RV,Cockburn,44.00%,43.00%,Riggleman,Cockburn,2
U.S. House,,VA-5,,OCT 16-22,ASiena College/New York Times,501,LV,Cockburn,46.00%,45.00%,Riggleman,Cockburn,1
U.S. House,,PA-8,,OCT 16-19,ASiena College/New York Times,506,RV,Cartwright,51.00%,35.00%,Chrin,Cartwright,16
U.S. House,,PA-8,,OCT 16-19,ASiena College/New York Times,506,LV,Cartwright,52.00%,40.00%,Chrin,Cartwright,13
U.S. House,,FL-15,,OCT 16-19,ASiena College/New York Times,499,RV,Carlson,43.00%,37.00%,Spano,Carlson,6
U.S. House,,FL-15,,OCT 16-19,ASiena College/New York Times,499,LV,Carlson,43.00%,43.00%,Spano,Spano,1
U.S. House,,CA-45,,OCT 14-17,BPublic Opinion Strategies*,400,LV,Porter,46.00%,50.00%,Walters,Walters,4
U.S. House,,FL-15,,OCT 9-14,ASurveyUSA,591,LV,Carlson,45.00%,45.00%,Spano,,EVEN
"Oct. 16, 2018",,,,,,,,,,,,,
U.S. House,,AK-1,,OCT 13-16,B+Lake Research Partners*,500,LV,Galvin,44.00%,48.00%,Young,Young,4
U.S. House,,NH-2,,OCT 10-15,St. Anselm,220,LV,Kuster,49.00%,22.00%,Negron,Kuster,27
U.S. House,,NH-1,,OCT 10-15,St. Anselm,234,LV,Pappas,44.00%,36.00%,Edwards,Pappas,9
U.S. House,,AK-1,,OCT 12-14,CIvan Moore Research,500,LV,Galvin,47.00%,49.00%,Young,Young,2
U.S. House,,MI-11,,OCT 10-14,CAnzalone Liszt Grove Research*,513,LV,Stevens,48.00%,39.00%,Epstein,Stevens,9
U.S. House,,MI-11,,OCT 10-14,CAnzalone Liszt Grove Research*,513,LV,Stevens,44.00%,34.00%,Epstein,Stevens,10
U.S. House,,UT-3,,03/10/09,University of Utah,143,RV,Singer,13.00%,67.00%,Curtis,Curtis,54
U.S. House,,UT-1,,03/10/09,University of Utah,143,RV,Castillo,20.00%,52.00%,Bishop,Bishop,32
U.S. House,,NY-25,,04/10/08,ASiena College,465,LV,Morelle,53.00%,36.00%,Maxwell,Morelle,17
U.S. House,,MI-11,,02/10/04,CAnzalone Liszt Grove Research*,503,LV,Stevens,42.00%,37.00%,Epstein,Stevens,5
U.S. House,,TX-12,,SEP 27-28,BPublic Policy Polling*,590,V,Adia,30.00%,62.00%,Granger,Granger,32
U.S. House,,MI-11,,AUG 13-16,CAnzalone Liszt Grove Research*,500,LV,Stevens,44.00%,36.00%,Epstein,Stevens,8
"Oct. 15, 2018",,,,,,,,,,,,,
U.S. House,,FL-27,,OCT 15-19,ASiena College/New York Times,542,RV,Shalala,42.00%,34.00%,Salazar,Shalala,7
U.S. House,,FL-27,,OCT 15-19,ASiena College/New York Times,542,LV,Shalala,44.00%,37.00%,Salazar,Shalala,7
U.S. House,,WA-3,,OCT 14-19,ASiena College/New York Times,497,RV,Long,34.00%,46.00%,Herrera Beutler,Herrera Beutler,12
U.S. House,,WA-3,,OCT 14-19,ASiena College/New York Times,497,LV,Long,41.00%,48.00%,Herrera Beutler,Herrera Beutler,7
U.S. House,,ME-2,,OCT 15-18,ASiena College/New York Times,501,RV,Golden,41.00%,38.00%,Poliquin,Golden,3
U.S. House,,ME-2,,OCT 15-18,ASiena College/New York Times,501,LV,Golden,41.00%,41.00%,Poliquin,,EVEN
U.S. House,,WV-3,,OCT 14-18,ASiena College/New York Times,490,RV,Ojeda,39.00%,45.00%,Miller,Miller,6
U.S. House,,WV-3,,OCT 14-18,ASiena College/New York Times,490,LV,Ojeda,41.00%,46.00%,Miller,Miller,5
U.S. House,,MI-2,,OCT 11-15,B+Lake Research Partners*,400,LV,Davidson,42.00%,48.00%,Huizenga,Huizenga,6
U.S. House,,FL-27,,OCT 11-14,CAnzalone Liszt Grove Research*,500,LV,Shalala,44.00%,39.00%,Salazar,Shalala,5
U.S. House,,WV-3,,OCT 10-14,A+Monmouth University,350,LV,Ojeda,46.00%,48.00%,Miller,Miller,2
U.S. House,,WV-3,,OCT 10-14,A+Monmouth University,350,LV,Ojeda,46.00%,48.00%,Miller,Miller,2
U.S. House,,WV-3,,OCT 10-14,A+Monmouth University,350,LV,Ojeda,45.00%,48.00%,Miller,Miller,3
U.S. House,,IA-1,,OCT 12-13,CThe Polling Company Inc.*,400,RV,Finkenauer,45.00%,43.00%,Blum,Finkenauer,2
U.S. House,,NY-22,,OCT 12-13,CThe Polling Company Inc.*,400,LV,Brindisi,42.00%,50.00%,Tenney,Tenney,8
U.S. House,,MI-11,,OCT 10-13,BHarper Polling*,400,LV,Stevens,36.00%,35.00%,Epstein,Stevens,1
U.S. House,,NY-27,,06/10/11,ASiena College,490,LV,McMurray,43.00%,46.00%,Collins,Collins,3
U.S. House,,PA-16,,09/10/10,DCCC Targeting Team*,548,LV,DiNicola,46.00%,49.00%,Kelly,Kelly,3
U.S. House,,NY-11,,04/09/05,BPublic Policy Polling*,509,V,Rose,39.00%,47.00%,Donovan,Donovan,8
U.S. House,,MI-2,,JUL 12-15,B+Lake Research Partners*,400,LV,Davidson,28.00%,50.00%,Huizenga,Huizenga,22
"Oct. 14, 2018",,,,,,,,,,,,,
U.S. House,,PA-7,,SEP 28-OCT 28,DeSales University,809,LV,Wild,49.00%,38.00%,Nothstein,Wild,11
U.S. House,,PA-7,,SEP 28-OCT 28,DeSales University,1084,RV,Wild,46.00%,34.00%,Nothstein,Wild,12
U.S. House,,KS-3,,OCT 14-17,ASiena College/New York Times,503,RV,Davids,44.00%,37.00%,Yoder,Davids,7
U.S. House,,KS-3,,OCT 14-17,ASiena College/New York Times,503,LV,Davids,48.00%,39.00%,Yoder,Davids,9
U.S. House,,PA-1,,OCT 11-14,ASiena College/New York Times,570,RV,Wallace,48.00%,42.00%,Fitzpatrick,Wallace,6
U.S. House,,PA-1,,OCT 11-14,ASiena College/New York Times,570,LV,Wallace,50.00%,43.00%,Fitzpatrick,Wallace,7
U.S. House,,NH-2,,10/10/12,B+Emerson College,401,LV,Kuster,44.00%,25.00%,Negron,Kuster,19
U.S. House,,NH-1,,10/10/12,B+Emerson College,387,LV,Pappas,40.00%,35.00%,Edwards,Pappas,5
U.S. House,,NV-4,,10/10/12,B+Emerson College,157,LV,Horsford,36.00%,34.00%,Hardy,Horsford,2
U.S. House,,NV-3,,10/10/12,B+Emerson College,178,LV,Lee,41.00%,39.00%,Tarkanian,Lee,2
U.S. House,,NV-2,,10/10/12,B+Emerson College,169,LV,Koble,16.00%,23.00%,Amodei,Amodei,7
U.S. House,,NV-1,,10/10/12,B+Emerson College,121,LV,Titus,50.00%,20.00%,Bentley,Titus,30
U.S. House,,NC-13,,09/10/12,ASurveyUSA,533,LV,Manning,41.00%,44.00%,Budd,Budd,3
U.S. House,,VA-2,,03/10/12,B+Christopher Newport University,682,LV,Luria,44.00%,50.00%,Taylor,Taylor,6
U.S. House,,VA-2,,03/10/12,B+Christopher Newport University,798,LV,Luria,43.00%,50.00%,Taylor,Taylor,7
U.S. House,,UT-4,,03/10/11,University of Utah,403,RV,McAdams,46.00%,46.00%,Love,,EVEN
U.S. House,,MI-6,,09/10/10,DCCC Targeting Team*,605,LV,Longjohn,46.00%,49.00%,Upton,Upton,3
U.S. House,,NJ-3,,03/10/10,B+Stockton University,546,LV,Kim,45.00%,47.00%,MacArthur,MacArthur,1
U.S. House,,FL-26,,03/10/09,"B+Mason-Dixon Polling & Research, Inc.",625,LV,Mucarsel-Powell,45.00%,46.00%,Curbelo,Curbelo,1
U.S. House,,OR-5,,01/10/08,C+Gravis Marketing*,359,LV,Schrader,33.00%,56.00%,Callahan,Callahan,23
"Oct. 13, 2018",,,,,,,,,,,,,
U.S. House,,TX-23,,OCT 13-18,ASiena College/New York Times,488,RV,Ortiz Jones,41.00%,45.00%,Hurd,Hurd,4
U.S. House,,TX-23,,OCT 13-18,ASiena College/New York Times,488,LV,Ortiz Jones,38.00%,53.00%,Hurd,Hurd,15
U.S. House,,NJ-11,,OCT 13-17,ASiena College/New York Times,487,RV,Sherrill,45.00%,33.00%,Webber,Sherrill,12
U.S. House,,NJ-11,,OCT 13-17,ASiena College/New York Times,487,LV,Sherrill,49.00%,38.00%,Webber,Sherrill,10
U.S. House,,CO-6,,OCT 13-17,ASiena College/New York Times,506,RV,Crow,45.00%,35.00%,Coffman,Crow,10
U.S. House,,CO-6,,OCT 13-17,ASiena College/New York Times,506,LV,Crow,47.00%,38.00%,Coffman,Crow,9
"Oct. 12, 2018",,,,,,,,,,,,,
U.S. House,,PA-1,,02/10/04,BPublic Opinion Strategies*,400,LV,Wallace,42.00%,50.00%,Fitzpatrick,Fitzpatrick,8
"Oct. 11, 2018",,,,,,,,,,,,,
U.S. House,,AZ-6,,OCT 11-15,ASiena College/New York Times,500,RV,Malik,35.00%,45.00%,Schweikert,Schweikert,9
U.S. House,,AZ-6,,OCT 11-15,ASiena College/New York Times,500,LV,Malik,36.00%,50.00%,Schweikert,Schweikert,14
U.S. House,,VA-10,,OCT 11-15,ASiena College/New York Times,484,RV,Wexton,45.00%,39.00%,Comstock,Wexton,6
U.S. House,,VA-10,,OCT 11-15,ASiena College/New York Times,484,LV,Wexton,48.00%,41.00%,Comstock,Wexton,7
U.S. House,,MN-8,,OCT 11-14,ASiena College/New York Times,507,RV,Radinovich,32.00%,48.00%,Stauber,Stauber,16
U.S. House,,MN-8,,OCT 11-14,ASiena College/New York Times,507,LV,Radinovich,34.00%,49.00%,Stauber,Stauber,16
U.S. House,,AK-1,,11/10/12,BPublic Policy Polling*,645,V,Galvin,43.00%,46.00%,Young,Young,3
U.S. House,,WA-3,,09/10/11,B+Lake Research Partners*,400,LV,Long,45.00%,43.00%,Herrera Beutler,Long,2
U.S. House,,AZ-1,,09/10/10,Go Right Strategies*,943,LV,O'Halleran,38.00%,44.00%,Rogers,Rogers,7
U.S. House,,NY-1,,08/10/10,BGBA Strategies*,500,LV,Gershon,46.00%,50.00%,Zeldin,Zeldin,3
U.S. House,,UT-4,,07/10/10,BMellman Group*,400,LV,McAdams,47.00%,46.00%,Love,McAdams,1
U.S. House,,NV-4,,03/10/08,BMoore Information*,400,LV,Horsford,37.00%,41.00%,Hardy,Hardy,4
U.S. House,,IA-1,,03/10/04,CThe Polling Company Inc.*,400,RV,Finkenauer,44.00%,43.00%,Blum,Finkenauer,1
U.S. House,,TX-17,,AUG 30-SEP 1,Change Research*,961,RV,Kennedy,38.00%,54.00%,Flores,Flores,16
"Oct. 10, 2018",,,,,,,,,,,,,
U.S. House,,NY-27,,06/10/08,BTulchin Research*,400,LV,McMurray,42.00%,42.00%,Collins,,EVEN
U.S. House,,FL-27,,01/10/06,"B+Mason-Dixon Polling & Research, Inc.",625,LV,Shalala,42.00%,44.00%,Salazar,Salazar,2
U.S. House,,NJ-3,,02/10/04,"B+National Research, Inc.*",400,LV,Kim,40.00%,44.00%,MacArthur,MacArthur,4
U.S. House,,IL-12,,JUL 26-30,C+Global Strategy Group*,400,LV,Kelly,41.00%,50.00%,Bost,Bost,9
"Oct. 9, 2018",,,,,,,,,,,,,
U.S. House,,WA-8,,04/10/09,A+Elway Research,400,RV,Schrier,39.00%,49.00%,Rossi,Rossi,10
U.S. House,,VA-10,,06/10/08,C-McLaughlin & Associates*,400,LV,Wexton,47.00%,48.00%,Comstock,Comstock,1
U.S. House,,PA-17,,05/10/08,A+Monmouth University,354,LV,Lamb,54.00%,42.00%,Rothfus,Lamb,12
U.S. House,,PA-17,,05/10/08,A+Monmouth University,354,LV,Lamb,55.00%,41.00%,Rothfus,Lamb,14
U.S. House,,PA-17,,05/10/08,A+Monmouth University,354,LV,Lamb,54.00%,42.00%,Rothfus,Lamb,12
U.S. House,,IL-12,,03/10/07,C+Global Strategy Group*,404,LV,Kelly,45.00%,46.00%,Bost,Bost,1
U.S. House,,FL-6,,01/10/04,B-Greenberg Quinlan Rosner*,400,LV,Soderberg,45.00%,45.00%,Waltz,,EVEN
U.S. House,,IL-13,,SEP 29-OCT 1,B+American Viewpoint*,400,LV,Londrigan,37.00%,50.00%,Davis,Davis,13
"Oct. 8, 2018",,,,,,,,,,,,,
U.S. House,,KY-6,,06/10/08,BPublic Opinion Strategies*,400,RV,McGrath,46.00%,48.00%,Barr,Barr,2
U.S. House,,FL-16,,04/10/07,BPublic Opinion Strategies*,400,LV,Shapiro,42.00%,52.00%,Buchanan,Buchanan,10
U.S. House,,NJ-11,,03/10/07,A+Monmouth University,356,LV,Sherrill,48.00%,45.00%,Webber,Sherrill,3
U.S. House,,NJ-11,,03/10/07,A+Monmouth University,356,LV,Sherrill,50.00%,43.00%,Webber,Sherrill,7
U.S. House,,NJ-11,,03/10/07,A+Monmouth University,356,LV,Sherrill,48.00%,44.00%,Webber,Sherrill,4
U.S. House,,FL-9,,02/10/07,ASurveyUSA,535,LV,Soto,48.00%,40.00%,Liebnitzky,Soto,8
U.S. House,,AK-1,,01/10/06,CIvan Moore Research,500,LV,Galvin,46.00%,50.00%,Young,Young,4
U.S. House,,VA-10,,SEP 19-OCT 5,A+Washington Post/George Mason,866,LV,Wexton,55.00%,43.00%,Comstock,Wexton,12
U.S. House,,VA-10,,SEP 19-OCT 5,A+Washington Post/George Mason,1087,RV,Wexton,54.00%,43.00%,Comstock,Wexton,11
U.S. House,,FL-15,,03/10/04,BWPA Intelligence*,418,LV,Carlson,39.00%,46.00%,Spano,Spano,7
U.S. House,,NE-2,,01/10/02,Meeting Street Research*,400,RV,Eastman,40.00%,49.00%,Bacon,Bacon,9
U.S. House,,AK-1,,SEP 21-25,CIvan Moore Research,500,LV,Galvin,43.00%,54.00%,Young,Young,11
U.S. House,,MN-7,,05/09/10,CAnzalone Liszt Grove Research*,500,LV,Peterson,53.00%,35.00%,Hughes,Peterson,18
"Oct. 7, 2018",,,,,,,,,,,,,
U.S. House,,NC-9,,02/10/04,ASurveyUSA,556,LV,McCready,45.00%,41.00%,Harris,McCready,4
U.S. House,,IL-13,,01/10/04,BGBA Strategies*,500,LV,Londrigan,48.00%,49.00%,Davis,Davis,1
U.S. House,,CA-39,,SEP 28-OCT 2,BTulchin Research*,400,LV,Cisneros,48.00%,47.00%,Kim,Cisneros,1
U.S. House,,IL-6,,SEP 29-OCT 1,B+Garin-Hart-Yang Research Group*,400,LV,Casten,49.00%,44.00%,Roskam,Casten,5
U.S. House,,IL-13,,09/09/11,BGBA Strategies*,500,LV,Londrigan,46.00%,51.00%,Davis,Davis,5
U.S. House,,MT-1,,AUG 13-31,University of Montana,466,LV,Williams,51.00%,38.00%,Gianforte,Williams,13
"Oct. 5, 2018",,,,,,,,,,,,,
U.S. House,,PA-16,,05/10/08,ASiena College/New York Times,532,RV,DiNicola,37.00%,51.00%,Kelly,Kelly,14
U.S. House,,PA-16,,05/10/08,ASiena College/New York Times,532,LV,DiNicola,42.00%,50.00%,Kelly,Kelly,9
U.S. House,,NY-1,,04/10/08,ASiena College/New York Times,502,RV,Gershon,37.00%,47.00%,Zeldin,Zeldin,10
U.S. House,,NY-1,,04/10/08,ASiena College/New York Times,502,LV,Gershon,41.00%,49.00%,Zeldin,Zeldin,8
"Oct. 4, 2018",,,,,,,,,,,,,
U.S. House,,NC-13,,03/10/08,ASiena College/New York Times,500,RV,Manning,38.00%,42.00%,Budd,Budd,4
U.S. House,,NC-13,,03/10/08,ASiena College/New York Times,500,LV,Manning,41.00%,47.00%,Budd,Budd,6
U.S. House,,IL-14,,03/10/08,ASiena College/New York Times,501,RV,Underwood,40.00%,41.00%,Hultgren,Hultgren,1
U.S. House,,IL-14,,03/10/08,ASiena College/New York Times,501,LV,Underwood,43.00%,47.00%,Hultgren,Hultgren,5
U.S. House,,TX-23,,02/10/04,GS Strategy Group*,400,LV,Ortiz Jones,30.00%,55.00%,Hurd,Hurd,25
U.S. House,,NM-2,,SEP 30-OCT 2,BTarrance Group*,400,LV,Small,45.00%,49.00%,Herrell,Herrell,4
U.S. House,,FL-26,,SEP 27-OCT 1,BGBA Strategies*,500,LV,Mucarsel-Powell,50.00%,48.00%,Curbelo,Mucarsel-Powell,2
"Oct. 3, 2018",,,,,,,,,,,,,
U.S. House,,KY-6,,SEP 30-OCT 2,B+Garin-Hart-Yang Research Group*,501,LV,McGrath,51.00%,44.00%,Barr,McGrath,7
U.S. House,,FL-16,,SEP 30-OCT 2,A-University of North Florida,551,LV,Shapiro,40.00%,49.00%,Buchanan,Buchanan,9
U.S. House,,VA-10,,SEP 23-OCT 2,B+Christopher Newport University,711,LV,Wexton,53.00%,42.00%,Comstock,Wexton,11
U.S. House,,VA-10,,SEP 23-OCT 2,B+Christopher Newport University,794,LV,Wexton,51.00%,44.00%,Comstock,Wexton,7
U.S. House,,CA-50,,SEP 29-OCT 1,BTulchin Research*,400,LV,Campa-Najjar,44.00%,45.00%,Hunter,Hunter,1
U.S. House,,NE-2,,SEP 27-30,B-Greenberg Quinlan Rosner*,400,LV,Eastman,45.00%,49.00%,Bacon,Bacon,4
U.S. House,,NH-1,,SEP 25-27,C+OnMessage Inc.*,400,LV,Pappas,40.00%,42.00%,Edwards,Edwards,2
U.S. House,,CA-10,,SEP 16-23,UC Berkeley,726,LV,Harder,50.00%,45.00%,Denham,Harder,5
U.S. House,,CA-50,,SEP 16-23,UC Berkeley,527,LV,Campa-Najjar,47.00%,49.00%,Hunter,Hunter,2
U.S. House,,CA-49,,SEP 16-23,UC Berkeley,551,LV,Levin,55.00%,41.00%,Harkey,Levin,14
U.S. House,,CA-48,,SEP 16-23,UC Berkeley,623,LV,Rouda,48.00%,48.00%,Rohrabacher,,EVEN
U.S. House,,CA-45,,SEP 16-23,UC Berkeley,519,LV,Porter,52.00%,45.00%,Walters,Porter,7
U.S. House,,CA-39,,SEP 16-23,UC Berkeley,552,LV,Cisneros,49.00%,48.00%,Kim,Cisneros,1
U.S. House,,CA-25,,SEP 16-23,UC Berkeley,650,LV,Hill,50.00%,46.00%,Knight,Hill,4
U.S. House,,CA-22,,SEP 16-23,UC Berkeley,912,LV,Janz,45.00%,53.00%,Nunes,Nunes,8
U.S. House,,FL-18,,SEP 11-16,C+Global Strategy Group*,600,LV,Baer,44.00%,50.00%,Mast,Mast,6
U.S. House,,KY-6,,AUG 23-26,B+Garin-Hart-Yang Research Group*,401,LV,McGrath,44.00%,49.00%,Barr,Barr,5
"Oct. 2, 2018",,,,,,,,,,,,,
U.S. House,,ND-1,,SEP 29-OCT 2,AFox News,704,LV,Schneider,34.00%,51.00%,Armstrong,Armstrong,17
U.S. House,,ND-1,,SEP 29-OCT 2,AFox News,801,RV,Schneider,33.00%,49.00%,Armstrong,Armstrong,16
U.S. House,,MN-2,,SEP 29-OCT 1,BWPA Intelligence*,412,LV,Craig,43.00%,46.00%,Lewis,Lewis,3
U.S. House,,PA-1,,SEP 27-OCT 1,A+Monmouth University,353,LV,Wallace,45.00%,52.00%,Fitzpatrick,Fitzpatrick,7
U.S. House,,PA-1,,SEP 27-OCT 1,A+Monmouth University,353,LV,Wallace,48.00%,49.00%,Fitzpatrick,Fitzpatrick,1
U.S. House,,PA-1,,SEP 27-OCT 1,A+Monmouth University,353,LV,Wallace,46.00%,50.00%,Fitzpatrick,Fitzpatrick,4
U.S. House,,FL-18,,SEP 26-30,C+Global Strategy Group*,400,LV,Baer,45.00%,48.00%,Mast,Mast,3
U.S. House,,MN-3,,SEP 24-29,ASurveyUSA,607,LV,Phillips,49.00%,44.00%,Paulsen,Phillips,5
U.S. House,,PA-10,,SEP 24-25,BPublic Policy Polling*,650,V,Scott,43.00%,44.00%,Perry,Perry,1
U.S. House,,TX-32,,SEP 20-23,BGBA Strategies*,600,LV,Allred,50.00%,47.00%,Sessions,Allred,3
U.S. House,,TX-32,,SEP 20-23,BGBA Strategies*,600,LV,Allred,47.00%,46.00%,Sessions,Allred,1
"Oct. 1, 2018",,,,,,,,,,,,,
U.S. House,,MI-11,,01/10/06,ASiena College/New York Times,465,RV,Stevens,46.00%,35.00%,Epstein,Stevens,11
U.S. House,,MI-11,,01/10/06,ASiena College/New York Times,465,LV,Stevens,45.00%,38.00%,Epstein,Stevens,8
U.S. House,,TX-31,,01/10/05,ASiena College/New York Times,490,RV,Hegar,35.00%,51.00%,Carter,Carter,16
U.S. House,,TX-31,,01/10/05,ASiena College/New York Times,490,LV,Hegar,38.00%,53.00%,Carter,Carter,15
U.S. House,,FL-16,,01/10/01,B-St. Pete Polls,1248,LV,Shapiro,43.00%,50.00%,Buchanan,Buchanan,7
U.S. House,,VA-10,,SEP 26-30,A+Monmouth University,374,LV,Wexton,52.00%,43.00%,Comstock,Wexton,9
U.S. House,,VA-10,,SEP 26-30,A+Monmouth University,374,LV,Wexton,50.00%,44.00%,Comstock,Wexton,6
U.S. House,,VA-10,,SEP 26-30,A+Monmouth University,374,LV,Wexton,50.00%,46.00%,Comstock,Wexton,4
U.S. House,,VA-2,,SEP 26-28,Change Research,758,LV,Luria,46.00%,46.00%,Taylor,Taylor,1
U.S. House,,IL-12,,SEP 26-27,DCCC Targeting Team*,574,LV,Kelly,44.00%,46.00%,Bost,Bost,2
U.S. House,,IL-12,,SEP 26-27,DCCC Targeting Team*,574,LV,Kelly,41.00%,42.00%,Bost,Bost,1
U.S. House,,FL-26,,SEP 23-27,B-Greenberg Quinlan Rosner*,500,LV,Mucarsel-Powell,49.00%,48.00%,Curbelo,Mucarsel-Powell,1
U.S. House,,ND-1,,SEP 17-27,Strategic Research Associates,650,LV,Schneider,31.00%,55.00%,Armstrong,Armstrong,24
U.S. House,,TX-31,,SEP 22-25,BTarrance Group*,400,LV,Hegar,33.00%,54.00%,Carter,Carter,21
U.S. House,,OK-1,,SEP 15-25,B-SoonerPoll.com,306,LV,Gilpin,32.00%,54.00%,Hern,Hern,22
U.S. House,,OK-2,,SEP 15-25,B-SoonerPoll.com,245,LV,Nichols,32.00%,46.00%,Mullin,Mullin,14
U.S. House,,KS-1,,SEP 21-22,DJayhawk Consulting*,400,LV,LaPolice,33.00%,44.00%,Marshall,Marshall,11
U.S. House,,KS-3,,SEP 18-20,Remington Research Group*,610,LV,Davids,40.00%,43.00%,Yoder,Yoder,3
U.S. House,,NJ-11,,JUL 18-22,"B+National Research, Inc.*",400,LV,Sherrill,42.00%,36.00%,Webber,Sherrill,6
U.S. House,,CO-6,,09/07/11,"B-Normington, Petts & Associates*",400,LV,Crow,41.00%,44.00%,Coffman,Coffman,3
"Sept. 30, 2018",,,,,,,,,,,,,
U.S. House,,NC-9,,01/10/05,ASiena College/New York Times,502,RV,McCready,43.00%,44.00%,Harris,Harris,2
U.S. House,,NC-9,,01/10/05,ASiena College/New York Times,502,LV,McCready,42.00%,47.00%,Harris,Harris,4
U.S. House,,MN-8,,SEP 27-30,B-Victoria Research & Consulting*,400,LV,Radinovich,45.00%,44.00%,Stauber,Radinovich,1
U.S. House,,AZ-1,,SEP 27-28,Go Right Strategies*,738,LV,O'Halleran,36.00%,39.00%,Rogers,Rogers,3
U.S. House,,KS-4,,SEP 26-28,B+Emerson College,256,RV,Thompson,26.00%,50.00%,Estes,Estes,24
U.S. House,,KS-3,,SEP 26-28,B+Emerson College,246,RV,Davids,47.00%,41.00%,Yoder,Davids,7
U.S. House,,KS-2,,SEP 26-28,B+Emerson College,243,RV,Davis,35.00%,31.00%,Watkins,Davis,4
U.S. House,,KS-1,,SEP 26-28,B+Emerson College,193,RV,LaPolice,17.00%,44.00%,Marshall,Marshall,27
U.S. House,,NJ-11,,SEP 24-27,"B+National Research, Inc.*",400,LV,Sherrill,46.00%,43.00%,Webber,Sherrill,3
U.S. House,,FL-15,,SEP 22-27,Bold Blue Campaigns,500,LV,Carlson,46.00%,49.00%,Spano,Spano,3
U.S. House,,OK-5,,SEP 15-25,B-SoonerPoll.com,303,LV,Horn,37.00%,47.00%,Russell,Russell,10
U.S. House,,OK-4,,SEP 15-25,B-SoonerPoll.com,291,LV,Brannon,25.00%,58.00%,Cole,Cole,33
U.S. House,,OK-3,,SEP 15-25,B-SoonerPoll.com,267,LV,Robbins,24.00%,54.00%,Lucas,Lucas,30
U.S. House,,CA-45,,SEP 20-23,BGBA Strategies*,400,LV,Porter,48.00%,47.00%,Walters,Porter,1
U.S. House,,CO-6,,SEP 18-23,"B-Normington, Petts & Associates*",400,LV,Crow,49.00%,38.00%,Coffman,Crow,11
U.S. House,,CA-49,,SEP 17-20,BPublic Opinion Strategies*,400,LV,Levin,45.00%,43.00%,Harkey,Levin,2
U.S. House,,CO-6,,SEP 11-13,BTarrance Group*,400,RV,Crow,42.00%,40.00%,Coffman,Crow,2
U.S. House,,CO-6,,SEP 11-13,BTarrance Group*,400,RV,Crow,46.00%,45.00%,Coffman,Crow,1
"Sept. 29, 2018",,,,,,,,,,,,,
U.S. House,,MI-8,,SEP 28-OCT 3,ASiena College/New York Times,501,RV,Slotkin,43.00%,46.00%,Bishop,Bishop,3
U.S. House,,MI-8,,SEP 28-OCT 3,ASiena College/New York Times,501,LV,Slotkin,44.00%,47.00%,Bishop,Bishop,3
U.S. House,,MN-2,,SEP 29-OCT 2,ASiena College/New York Times,487,RV,Craig,49.00%,38.00%,Lewis,Craig,12
