FB_el_type,FB_survey_party,FB_week_to_el,Voters_Gender,age_cat,EthnicGroups_EthnicGroup1Desc,CommercialData_Education,Parties_Description,ID
US Senate,Dem,2,M,25-34,European,Bach Degree - Likely,Democratic,376
US House,Rep,1,M,25-34,Hispanic and Portuguese,NA,Democratic,377
US House,Dem,4,F,45-54,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,378
US Senate,Rep,6,M,55-64,European,Some College - Likely,Republican,379
US House,Dem,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,380
US House,Rep,4,F,65_or_older,European,HS Diploma - Extremely Likely,Non-Partisan,381
US House,Rep,4,M,35-44,Hispanic and Portuguese,NA,Non-Partisan,382
US House,Rep,4,F,45-54,Hispanic and Portuguese,Some College - Likely,Republican,383
US Senate,Rep,2,F,45-54,Hispanic and Portuguese,Some College - Likely,Republican,383
US House,Rep,2,F,45-54,Hispanic and Portuguese,Some College - Likely,Republican,383
US House,Rep,2,F,45-54,Hispanic and Portuguese,Some College - Likely,Republican,383
US House,Rep,1,F,45-54,Hispanic and Portuguese,Some College - Likely,Republican,383
US House,Rep,0,F,45-54,Hispanic and Portuguese,Some College - Likely,Republican,383
US House,Dem,4,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,384
US Senate,Dem,4,F,55-64,Hispanic and Portuguese,NA,Democratic,385
US House,Dem,0,F,45-54,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,386
US House,Dem,4,F,45-54,European,Grad Degree - Extremely Likely,Democratic,387
US House,Dem,0,F,55-64,European,Some College -Extremely Likely,Democratic,388
US House,Dem,0,F,55-64,European,Some College -Extremely Likely,Democratic,388
US House,Rep,2,M,65_or_older,European,NA,Republican,389
US House,Dem,2,F,55-64,Hispanic and Portuguese,Some College - Likely,Democratic,390
US House,Rep,2,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,391
US Senate,Dem,6,M,65_or_older,Likely African-American,Grad Degree - Extremely Likely,Democratic,392
US House,Dem,4,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US House,Dem,2,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US House,Dem,1,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US House,Dem,1,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US House,Dem,0,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,5,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,5,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,1,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,0,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,1,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,1,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US Senate,Dem,6,F,45-54,European,Grad Degree - Extremely Likely,Republican,393
US House,Rep,6,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,394
US House,Rep,0,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,394
US House,Dem,4,M,35-44,Hispanic and Portuguese,NA,Democratic,395
US House,Dem,4,F,65_or_older,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,396
US House,Rep,4,F,55-64,European,HS Diploma - Extremely Likely,Republican,397
US House,Dem,6,M,55-64,European,Bach Degree - Likely,Democratic,398
US House,Dem,5,M,55-64,European,Bach Degree - Likely,Democratic,398
US House,Dem,4,M,55-64,European,Bach Degree - Likely,Democratic,398
US House,Dem,3,F,55-64,European,Bach Degree - Likely,Democratic,399
US Senate,Dem,6,F,25-34,Hispanic and Portuguese,NA,Democratic,400
US House,Rep,4,M,25-34,Likely African-American,NA,Democratic,401
US Senate,Dem,5,F,25-34,Hispanic and Portuguese,NA,Democratic,400
US Senate,Dem,5,F,25-34,Hispanic and Portuguese,NA,Democratic,400
US Senate,Dem,1,F,25-34,Hispanic and Portuguese,NA,Democratic,400
US Senate,Dem,0,F,25-34,Hispanic and Portuguese,NA,Democratic,400
US Senate,Dem,4,F,25-34,Hispanic and Portuguese,NA,Democratic,400
US House,Dem,6,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,5,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,5,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,4,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,4,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,4,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,4,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,3,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,2,F,55-64,Likely African-American,NA,Democratic,403
US House,Dem,2,F,55-64,Likely African-American,NA,Democratic,403
US House,Dem,3,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,3,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,3,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Rep,2,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,2,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,1,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,0,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,0,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Dem,0,F,55-64,Hispanic and Portuguese,NA,Democratic,402
US House,Rep,3,F,65_or_older,European,Bach Degree - Extremely Likely,Non-Partisan,404
US House,Rep,2,F,65_or_older,European,Bach Degree - Extremely Likely,Non-Partisan,404
US Senate,Rep,4,F,65_or_older,European,Some College - Likely,Republican,405
US Senate,Rep,4,F,65_or_older,European,Some College - Likely,Republican,405
US House,Rep,3,F,45-54,NA,HS Diploma - Likely,Republican,406
US House,Rep,0,F,45-54,NA,HS Diploma - Likely,Republican,406
US House,Dem,4,M,65_or_older,European,Some College -Extremely Likely,Republican,407
US House,Dem,4,M,65_or_older,European,Some College -Extremely Likely,Republican,407
US House,Dem,4,M,65_or_older,European,Some College -Extremely Likely,Republican,407
US House,Dem,3,M,65_or_older,European,Some College -Extremely Likely,Republican,407
US Senate,Rep,0,M,65_or_older,European,Some College -Extremely Likely,Republican,407
US House,Rep,2,F,55-64,European,Some College -Extremely Likely,Republican,408
US Senate,Dem,4,F,65_or_older,Likely African-American,NA,Democratic,409
US Senate,Dem,4,F,65_or_older,Likely African-American,NA,Democratic,409
US Senate,Rep,3,M,55-64,Likely African-American,NA,Democratic,410
US House,Dem,5,F,45-54,European,NA,Democratic,411
US House,Dem,4,F,45-54,European,NA,Democratic,411
US House,Dem,3,F,45-54,European,NA,Democratic,411
US House,Dem,3,F,45-54,European,NA,Democratic,411
US Senate,Dem,3,F,45-54,European,NA,Democratic,411
US House,Dem,2,F,45-54,European,NA,Democratic,411
US House,Dem,2,F,45-54,European,NA,Democratic,411
US House,Dem,2,F,45-54,European,NA,Democratic,411
US Senate,Dem,1,F,45-54,European,NA,Democratic,411
US House,Dem,1,F,45-54,European,NA,Democratic,411
US House,Dem,1,F,45-54,European,NA,Democratic,411
US House,Dem,0,F,45-54,European,NA,Democratic,411
US House,Dem,0,F,45-54,European,NA,Democratic,411
US House,Dem,0,F,45-54,European,NA,Democratic,411
US House,Dem,0,F,45-54,European,NA,Democratic,411
US House,Dem,0,F,45-54,European,NA,Democratic,411
US Senate,Dem,0,F,45-54,European,NA,Democratic,411
US Senate,Dem,2,F,45-54,European,NA,Democratic,411
US House,Dem,1,M,55-64,Hispanic and Portuguese,NA,Democratic,412
US House,Dem,0,M,55-64,Hispanic and Portuguese,NA,Democratic,412
US House,Dem,2,F,65_or_older,European,NA,Democratic,413
US House,Dem,1,M,35-44,European,NA,Republican,414
US House,Rep,6,M,65_or_older,European,NA,Democratic,415
US House,Rep,6,M,65_or_older,European,NA,Democratic,415
US House,Rep,5,M,65_or_older,European,NA,Democratic,415
US House,Rep,2,M,65_or_older,European,NA,Democratic,415
US House,Dem,2,M,25-34,Hispanic and Portuguese,HS Diploma - Likely,Democratic,416
US House,Rep,4,M,45-54,European,NA,Republican,417
US Senate,Rep,2,M,45-54,European,NA,Republican,417
US Senate,Rep,5,M,45-54,European,NA,Republican,417
US House,Rep,0,F,45-54,Other,Bach Degree - Likely,Republican,418
US House,Rep,0,M,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,419
US House,Dem,4,F,45-54,European,NA,Democratic,420
US House,Dem,3,F,45-54,European,NA,Democratic,420
US House,Dem,3,F,25-34,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,421
US House,Dem,1,M,45-54,Hispanic and Portuguese,Bach Degree - Likely,Democratic,422
US House,Dem,6,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US House,Dem,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US House,Dem,4,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US House,Dem,3,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US House,Dem,3,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US House,Dem,2,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US House,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,423
US Senate,Dem,4,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,424
US House,Dem,2,F,65_or_older,European,HS Diploma - Likely,Democratic,425
US House,Dem,2,M,35-44,Hispanic and Portuguese,Bach Degree - Likely,Democratic,426
US Senate,Dem,6,F,25-34,Likely African-American,Some College - Likely,Democratic,427
US House,Dem,5,M,25-34,European,Grad Degree - Extremely Likely,Democratic,428
US House,Dem,5,M,25-34,European,Grad Degree - Extremely Likely,Democratic,428
US House,Dem,1,M,25-34,European,Grad Degree - Extremely Likely,Democratic,428
US House,Dem,2,F,65_or_older,European,Some College -Extremely Likely,Democratic,429
US House,Dem,0,M,25-34,European,Grad Degree - Extremely Likely,Democratic,428
US House,Dem,0,M,25-34,European,Grad Degree - Extremely Likely,Democratic,428
US House,Dem,0,M,25-34,European,Grad Degree - Extremely Likely,Democratic,428
US House,Dem,2,F,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,430
US House,Rep,3,F,55-64,Likely African-American,NA,Democratic,431
US House,Rep,2,F,55-64,Likely African-American,NA,Democratic,431
US House,Rep,2,F,55-64,Likely African-American,NA,Democratic,431
US House,Dem,2,F,25-34,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,432
US House,Rep,2,M,25-34,Hispanic and Portuguese,NA,Democratic,433
US Senate,Rep,1,M,45-54,NA,Grad Degree - Extremely Likely,Republican,434
US House,Dem,6,F,25-34,Hispanic and Portuguese,NA,Republican,435
US Senate,Rep,5,F,65_or_older,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,436
US House,Dem,6,M,55-64,Likely African-American,NA,Democratic,437
US House,Dem,0,M,55-64,Likely African-American,NA,Democratic,437
US Senate,Rep,4,M,25-34,Hispanic and Portuguese,NA,Democratic,438
US House,Rep,0,M,35-44,European,NA,Non-Partisan,439
US House,Rep,4,F,45-54,European,NA,Republican,440
US House,Rep,3,F,45-54,European,NA,Republican,440
US House,Rep,1,F,45-54,European,NA,Republican,440
US Senate,Rep,1,M,25-34,European,NA,Democratic,441
US House,Rep,1,F,45-54,European,NA,Republican,440
US House,Rep,0,F,45-54,European,NA,Republican,440
US House,Rep,2,M,25-34,European,Bach Degree - Likely,Republican,442
US House,Rep,1,M,45-54,European,NA,Republican,443
US House,Dem,0,F,55-64,European,Grad Degree - Likely,Republican,444
US House,Dem,6,F,55-64,European,Bach Degree - Extremely Likely,Democratic,445
US House,Dem,2,M,25-34,European,NA,Democratic,446
US House,Rep,0,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Republican,447
US House,Rep,0,F,65_or_older,European,Bach Degree - Extremely Likely,Republican,448
US House,Dem,4,F,25-34,European,Some College - Likely,Democratic,449
US House,Rep,3,F,65_or_older,European,Bach Degree - Extremely Likely,Republican,450
US House,Dem,2,F,35-44,Likely African-American,NA,Democratic,451
US House,Rep,6,M,25-34,Hispanic and Portuguese,NA,Democratic,452
US House,Dem,0,F,35-44,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,453
US House,Dem,5,F,45-54,European,NA,Democratic,454
US House,Rep,6,M,45-54,European,Grad Degree - Likely,Republican,455
US Senate,Dem,4,F,25-34,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,456
US House,Dem,4,M,25-34,Likely African-American,Some College - Likely,Democratic,457
US House,Dem,1,M,25-34,Likely African-American,Some College - Likely,Democratic,457
US Senate,Dem,6,M,25-34,Likely African-American,Some College - Likely,Democratic,457
US House,Dem,5,F,55-64,Likely African-American,NA,Democratic,458
US House,Dem,1,F,55-64,Likely African-American,NA,Democratic,458
US House,Dem,2,F,65_or_older,European,Some College - Likely,Democratic,459
US House,Dem,1,F,65_or_older,European,Some College - Likely,Democratic,459
US House,Dem,2,F,35-44,Likely African-American,NA,Democratic,460
US House,Dem,0,F,65_or_older,European,Some College - Likely,Democratic,459
US House,Dem,4,F,35-44,Likely African-American,Bach Degree - Likely,Democratic,461
US House,Dem,3,F,35-44,Likely African-American,Bach Degree - Likely,Democratic,461
US House,Dem,1,F,35-44,Likely African-American,Bach Degree - Likely,Democratic,461
US House,Dem,1,F,35-44,Likely African-American,Bach Degree - Likely,Democratic,461
US House,Dem,2,F,25-34,Hispanic and Portuguese,Grad Degree - Likely,Democratic,462
US House,Dem,2,F,25-34,Hispanic and Portuguese,Grad Degree - Likely,Democratic,462
US House,Dem,0,F,35-44,Likely African-American,Bach Degree - Likely,Democratic,461
US House,Dem,5,M,25-34,Hispanic and Portuguese,NA,Democratic,463
US House,Dem,5,M,25-34,Hispanic and Portuguese,NA,Democratic,463
US House,Rep,6,F,45-54,European,HS Diploma - Extremely Likely,Republican,464
US House,Rep,5,F,45-54,European,HS Diploma - Extremely Likely,Republican,464
US House,Rep,4,F,45-54,European,HS Diploma - Extremely Likely,Republican,464
US House,Rep,4,F,45-54,European,HS Diploma - Extremely Likely,Republican,464
US House,Rep,3,F,45-54,European,HS Diploma - Extremely Likely,Republican,464
US House,Rep,3,F,35-44,European,Bach Degree - Likely,Republican,465
US House,Rep,2,F,25-34,Hispanic and Portuguese,NA,Democratic,466
US House,Dem,6,M,55-64,European,Bach Degree - Extremely Likely,Non-Partisan,467
US Senate,Rep,6,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,468
US Senate,Rep,3,F,55-64,Likely African-American,NA,Democratic,469
US Senate,Rep,4,M,25-34,Hispanic and Portuguese,HS Diploma - Likely,Republican,470
US House,Dem,4,M,35-44,Other,NA,Democratic,471
US House,Rep,1,M,55-64,European,NA,Republican,472
US House,Rep,1,M,55-64,European,NA,Republican,472
US House,Dem,3,M,35-44,Other,NA,Democratic,471
US House,Rep,0,M,55-64,European,NA,Republican,472
US House,Rep,4,M,45-54,European,NA,Republican,473
US House,Dem,3,F,35-44,European,Bach Degree - Likely,Democratic,474
US House,Dem,2,F,35-44,European,Bach Degree - Likely,Democratic,474
US House,Dem,2,F,35-44,European,Bach Degree - Likely,Democratic,474
US House,Dem,1,F,35-44,European,Bach Degree - Likely,Democratic,474
US House,Rep,3,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,475
US House,Dem,4,F,55-64,European,Grad Degree - Extremely Likely,Democratic,476
US House,Dem,1,F,65_or_older,European,HS Diploma - Likely,Republican,477
US House,Dem,2,F,25-34,Hispanic and Portuguese,NA,Democratic,478
US House,Rep,2,F,55-64,Likely African-American,HS Diploma - Extremely Likely,Democratic,479
US Senate,Dem,1,F,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,480
US House,Rep,4,M,55-64,Hispanic and Portuguese,HS Diploma - Likely,Republican,481
US House,Rep,6,M,65_or_older,European,Some College -Extremely Likely,Republican,482
US House,Rep,5,M,65_or_older,European,Some College -Extremely Likely,Republican,482
US House,Rep,4,M,65_or_older,European,Some College -Extremely Likely,Republican,482
US House,Rep,1,M,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,483
US House,Rep,2,M,65_or_older,European,Some College -Extremely Likely,Republican,482
US House,Dem,6,M,35-44,European,HS Diploma - Extremely Likely,Democratic,484
US House,Dem,6,M,35-44,European,HS Diploma - Extremely Likely,Democratic,484
US House,Dem,4,M,35-44,European,HS Diploma - Extremely Likely,Democratic,484
US House,Rep,2,M,55-64,European,NA,Democratic,485
US House,Dem,4,M,25-34,European,Bach Degree - Likely,Democratic,486
US Senate,Dem,6,F,45-54,European,Grad Degree - Likely,Democratic,487
US House,Dem,2,F,35-44,European,NA,Democratic,488
US House,Dem,2,F,35-44,European,NA,Democratic,488
US House,Rep,3,M,25-34,European,NA,Republican,489
US House,Rep,1,M,25-34,European,NA,Republican,489
US House,Dem,5,M,35-44,European,Bach Degree - Likely,Democratic,490
US House,Dem,2,M,55-64,European,NA,Non-Partisan,491
US House,Dem,2,M,55-64,European,NA,Non-Partisan,491
US House,Dem,2,M,35-44,European,Bach Degree - Likely,Democratic,490
US House,Dem,1,F,35-44,European,Some College - Likely,Democratic,492
US House,Rep,1,F,45-54,Hispanic and Portuguese,NA,Democratic,493
US House,Dem,4,F,45-54,European,HS Diploma - Likely,Democratic,494
US House,Dem,6,F,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,495
US House,Dem,4,F,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,495
US House,Rep,4,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,496
US House,Rep,2,M,55-64,European,HS Diploma - Likely,Democratic,497
US House,Rep,2,M,55-64,European,HS Diploma - Likely,Democratic,497
US House,Rep,6,M,25-34,European,Some College - Likely,Republican,498
US House,Dem,3,F,35-44,Likely African-American,NA,Democratic,499
US House,Rep,6,M,35-44,European,Some College - Likely,Republican,500
US House,Rep,1,M,35-44,Hispanic and Portuguese,NA,Democratic,501
US House,Dem,2,F,35-44,Hispanic and Portuguese,NA,Democratic,502
US House,Dem,2,F,35-44,Hispanic and Portuguese,NA,Democratic,502
US House,Dem,2,F,35-44,Hispanic and Portuguese,NA,Democratic,502
US House,Rep,2,M,45-54,Hispanic and Portuguese,Grad Degree - Likely,Democratic,503
US Senate,Rep,6,F,55-64,European,Bach Degree - Extremely Likely,Non-Partisan,504
US House,Rep,5,M,65_or_older,European,Some College -Extremely Likely,Republican,505
US House,Rep,2,M,55-64,European,NA,Democratic,506
US House,Rep,1,M,35-44,Hispanic and Portuguese,NA,Democratic,507
US Senate,Rep,6,M,25-34,European,Some College - Likely,Republican,508
US House,Dem,6,F,65_or_older,Likely African-American,NA,Democratic,509
US House,Dem,4,F,65_or_older,Likely African-American,NA,Democratic,509
US House,Rep,5,M,25-34,European,NA,Democratic,510
US House,Dem,5,M,55-64,Likely African-American,NA,Democratic,511
US House,Dem,6,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,512
US House,Dem,3,M,55-64,Likely African-American,NA,Democratic,511
US House,Dem,0,M,55-64,Likely African-American,NA,Democratic,511
US Senate,Dem,5,M,45-54,Hispanic and Portuguese,NA,Democratic,513
US House,Dem,6,M,35-44,Likely African-American,NA,Democratic,514
US House,Dem,6,M,25-34,NA,NA,Democratic,515
US House,Dem,3,M,25-34,NA,NA,Democratic,515
US House,Rep,0,M,55-64,European,Grad Degree - Extremely Likely,Republican,516
US Senate,Dem,5,M,35-44,Likely African-American,NA,Democratic,514
US House,Dem,1,M,25-34,NA,NA,Democratic,515
US House,Rep,1,F,65_or_older,European,Bach Degree - Extremely Likely,Republican,517
US House,Rep,1,F,25-34,European,Some College - Likely,Republican,518
US Senate,Rep,1,M,35-44,European,NA,Non-Partisan,519
US House,Dem,2,M,25-34,Hispanic and Portuguese,NA,Democratic,520
US House,Rep,0,F,45-54,European,Grad Degree - Extremely Likely,Democratic,521
US Senate,Dem,2,F,25-34,European,Some College - Likely,Republican,522
US Senate,Dem,5,F,25-34,European,Some College - Likely,Republican,522
US Senate,Dem,1,F,25-34,European,Some College - Likely,Republican,522
US Senate,Dem,1,F,25-34,European,Some College - Likely,Republican,522
US Senate,Dem,0,M,25-34,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,523
US House,Dem,6,M,35-44,European,NA,Non-Partisan,524
US House,Dem,6,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,6,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,6,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,5,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,5,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,4,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,5,M,25-34,European,NA,Republican,526
US House,Dem,2,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,527
US House,Dem,2,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,527
US House,Dem,3,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,3,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,2,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,2,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,1,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,1,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Rep,1,F,25-34,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,528
US House,Dem,0,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,527
US House,Dem,0,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Dem,0,F,45-54,European,Grad Degree - Likely,Democratic,525
US House,Rep,5,F,55-64,European,NA,Republican,529
US House,Rep,1,F,55-64,European,NA,Republican,529
US House,Dem,4,F,35-44,NA,NA,Democratic,530
US House,Dem,5,M,65_or_older,NA,Bach Degree - Likely,Democratic,531
US House,Rep,5,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,532
US House,Dem,6,M,35-44,European,Bach Degree - Likely,Democratic,533
US House,Rep,2,F,55-64,European,Grad Degree - Likely,Republican,534
US House,Dem,1,M,35-44,European,Bach Degree - Likely,Democratic,533
US House,Rep,4,M,25-34,Hispanic and Portuguese,NA,Democratic,535
US House,Dem,2,M,25-34,European,NA,Democratic,536
US House,Rep,2,M,25-34,European,NA,Democratic,536
US House,Dem,5,F,65_or_older,European,NA,Republican,537
US House,Dem,3,F,45-54,European,Some College - Likely,Democratic,538
US House,Rep,4,M,65_or_older,European,Bach Degree - Extremely Likely,Republican,539
US House,Dem,3,F,35-44,European,NA,Non-Partisan,540
US House,Rep,1,M,25-34,European,NA,Republican,541
US House,Rep,2,M,65_or_older,European,Bach Degree - Extremely Likely,Republican,539
US Senate,Rep,1,M,65_or_older,European,Bach Degree - Extremely Likely,Republican,539
US House,Dem,6,M,45-54,European,NA,Democratic,542
US House,Dem,4,M,45-54,European,NA,Democratic,542
US House,Dem,4,F,25-34,European,HS Diploma - Likely,Republican,543
US House,Dem,4,F,25-34,European,HS Diploma - Likely,Republican,543
US House,Rep,3,F,45-54,European,Some College - Likely,Republican,544
US Senate,Dem,1,F,25-34,Hispanic and Portuguese,NA,Democratic,545
US Senate,Dem,1,F,25-34,Hispanic and Portuguese,NA,Democratic,545
US House,Dem,0,M,45-54,European,NA,Democratic,542
US Senate,Dem,1,M,45-54,European,NA,Democratic,542
US House,Dem,1,F,25-34,European,NA,Democratic,546
US House,Dem,0,F,65_or_older,European,NA,Democratic,547
US Senate,Dem,6,F,25-34,European,Some College - Likely,Non-Partisan,548
US Senate,Dem,2,F,25-34,European,Some College - Likely,Non-Partisan,548
US House,Rep,5,F,35-44,European,NA,Republican,549
US Senate,Dem,4,F,65_or_older,Hispanic and Portuguese,NA,Democratic,550
US Senate,Dem,2,M,25-34,Hispanic and Portuguese,NA,Democratic,551
US House,Dem,4,F,35-44,European,NA,Non-Partisan,552
US House,Dem,4,F,65_or_older,Likely African-American,NA,Democratic,553
US House,Dem,1,F,35-44,European,NA,Non-Partisan,552
US Senate,Dem,1,M,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Republican,554
US Senate,Dem,4,M,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Republican,554
US Senate,Rep,2,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,555
US House,Dem,3,M,25-34,European,NA,Republican,556
US Senate,Rep,5,M,35-44,Hispanic and Portuguese,NA,Democratic,557
US House,Rep,3,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,2,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,2,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,2,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,2,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,1,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,1,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,1,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Rep,0,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,558
US House,Dem,6,F,45-54,Likely African-American,Some College - Likely,Democratic,559
US House,Dem,5,F,45-54,Likely African-American,Some College - Likely,Democratic,559
US House,Rep,4,M,35-44,European,NA,Non-Partisan,560
US House,Rep,6,M,25-34,European,Less than HS Diploma - Likely,Republican,561
US House,Dem,3,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,3,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,1,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,1,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US Senate,Rep,2,M,25-34,European,NA,Democratic,563
US House,Dem,0,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,0,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,0,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,0,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US House,Dem,0,F,25-34,Hispanic and Portuguese,NA,Democratic,562
US Senate,Rep,5,M,35-44,European,HS Diploma - Extremely Likely,Republican,564
US House,Rep,5,M,25-34,Hispanic and Portuguese,NA,Democratic,565
US House,Rep,0,M,65_or_older,European,Bach Degree - Extremely Likely,Non-Partisan,566
US House,Rep,2,F,55-64,Hispanic and Portuguese,NA,Democratic,567
US House,Rep,0,F,55-64,Likely African-American,NA,Democratic,568
US House,Dem,6,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,569
US House,Dem,6,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,569
US House,Dem,5,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,569
US House,Dem,5,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,569
US House,Dem,4,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,569
US House,Dem,3,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,569
US Senate,Dem,2,M,25-34,Hispanic and Portuguese,NA,Democratic,570
US Senate,Rep,4,F,35-44,Hispanic and Portuguese,NA,Democratic,571
US House,Dem,1,M,35-44,Hispanic and Portuguese,NA,Democratic,572
US House,Rep,3,M,65_or_older,European,Some College - Likely,Republican,573
US House,Rep,2,M,45-54,European,Bach Degree - Likely,Republican,574
US House,Dem,2,M,65_or_older,European,Bach Degree - Likely,Republican,575
